class,precision,recall,f1_score,support
AFW,0.84,0.77,0.8,757.0
CVL,0.71,0.84,0.77,727.0
DAT,0.65,0.83,0.73,615.0
LOC,0.47,0.39,0.42,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.97,0.96,637.0
STO,0.47,0.92,0.62,743.0
TIM,0.74,0.84,0.78,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.86,0.77,0.81,757.0
CVL,0.65,0.84,0.73,727.0
DAT,0.64,0.84,0.73,615.0
LOC,0.41,0.37,0.39,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.97,0.96,637.0
STO,0.52,0.83,0.64,743.0
TIM,0.69,0.85,0.76,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.84,0.77,0.8,757.0
CVL,0.65,0.84,0.73,727.0
DAT,0.63,0.84,0.72,615.0
LOC,0.47,0.36,0.41,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.48,0.9,0.63,743.0
TIM,0.71,0.84,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.84,0.78,0.81,757.0
CVL,0.7,0.83,0.76,727.0
DAT,0.61,0.85,0.71,615.0
LOC,0.47,0.4,0.43,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.49,0.88,0.63,743.0
TIM,0.7,0.84,0.76,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.84,0.78,0.81,757.0
CVL,0.7,0.82,0.75,727.0
DAT,0.57,0.85,0.68,615.0
LOC,0.43,0.33,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.45,0.92,0.6,743.0
TIM,0.7,0.86,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.85,0.78,0.81,757.0
CVL,0.69,0.82,0.75,727.0
DAT,0.59,0.85,0.69,615.0
LOC,0.43,0.32,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.44,0.92,0.6,743.0
TIM,0.69,0.85,0.76,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.86,0.77,0.81,757.0
CVL,0.7,0.83,0.76,727.0
DAT,0.59,0.85,0.7,615.0
LOC,0.43,0.33,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.44,0.92,0.6,743.0
TIM,0.7,0.86,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.86,0.77,0.81,757.0
CVL,0.7,0.83,0.76,727.0
DAT,0.59,0.85,0.7,615.0
LOC,0.43,0.33,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.44,0.92,0.6,743.0
TIM,0.7,0.86,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
