class,precision,recall,f1_score,support
AFW,0.95,0.76,0.85,757.0
CVL,0.69,0.79,0.74,727.0
DAT,0.71,0.8,0.75,615.0
LOC,0.32,0.32,0.32,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.55,0.7,0.61,743.0
TIM,0.51,0.85,0.63,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.97,0.76,0.85,757.0
CVL,0.76,0.78,0.77,727.0
DAT,0.57,0.81,0.67,615.0
LOC,0.25,0.31,0.27,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.85,0.98,0.91,637.0
STO,0.47,0.8,0.59,743.0
TIM,0.73,0.74,0.73,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.94,0.76,0.84,757.0
CVL,0.79,0.76,0.77,727.0
DAT,0.52,0.79,0.63,615.0
LOC,0.23,0.31,0.26,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.9,0.98,0.94,637.0
STO,0.58,0.71,0.64,743.0
TIM,0.46,0.72,0.56,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.95,0.76,0.84,757.0
CVL,0.8,0.76,0.78,727.0
DAT,0.47,0.81,0.59,615.0
LOC,0.21,0.31,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.59,0.66,0.62,743.0
TIM,0.5,0.74,0.59,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.94,0.76,0.84,757.0
CVL,0.74,0.77,0.75,727.0
DAT,0.64,0.81,0.71,615.0
LOC,0.23,0.38,0.29,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.61,0.62,0.61,743.0
TIM,0.65,0.7,0.67,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.66,0.77,0.71,727.0
DAT,0.42,0.84,0.56,615.0
LOC,0.22,0.24,0.23,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.6,0.66,0.63,743.0
TIM,0.71,0.64,0.67,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.77,0.83,757.0
CVL,0.63,0.77,0.7,727.0
DAT,0.55,0.81,0.65,615.0
LOC,0.22,0.29,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.62,0.71,0.66,743.0
TIM,0.64,0.63,0.64,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.6,0.77,0.68,727.0
DAT,0.53,0.82,0.65,615.0
LOC,0.25,0.24,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.55,0.67,0.6,743.0
TIM,0.56,0.76,0.64,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.72,0.76,0.74,727.0
DAT,0.48,0.83,0.61,615.0
LOC,0.25,0.27,0.26,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.57,0.7,0.63,743.0
TIM,0.6,0.74,0.66,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.62,0.77,0.68,727.0
DAT,0.5,0.83,0.63,615.0
LOC,0.23,0.27,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.58,0.7,0.64,743.0
TIM,0.64,0.71,0.67,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.57,0.77,0.65,727.0
DAT,0.51,0.83,0.63,615.0
LOC,0.24,0.26,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.59,0.69,0.64,743.0
TIM,0.64,0.72,0.68,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.97,0.76,0.85,757.0
CVL,0.63,0.76,0.69,727.0
DAT,0.51,0.83,0.64,615.0
LOC,0.22,0.27,0.24,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.54,0.69,0.61,743.0
TIM,0.61,0.72,0.66,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.97,0.76,0.85,757.0
CVL,0.59,0.77,0.67,727.0
DAT,0.5,0.83,0.63,615.0
LOC,0.23,0.26,0.24,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.54,0.69,0.61,743.0
TIM,0.62,0.71,0.66,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.59,0.77,0.67,727.0
DAT,0.52,0.82,0.64,615.0
LOC,0.23,0.28,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.56,0.7,0.62,743.0
TIM,0.64,0.71,0.67,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.96,0.76,0.85,757.0
CVL,0.59,0.77,0.67,727.0
DAT,0.52,0.82,0.64,615.0
LOC,0.23,0.27,0.25,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.56,0.71,0.62,743.0
TIM,0.64,0.71,0.68,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
