class,precision,recall,f1_score,support
AFW,0.85,0.77,0.81,757.0
CVL,0.65,0.81,0.72,727.0
DAT,0.66,0.84,0.74,615.0
LOC,0.47,0.42,0.44,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.95,0.95,637.0
STO,0.52,0.87,0.65,743.0
TIM,0.68,0.79,0.73,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.83,757.0
CVL,0.69,0.81,0.75,727.0
DAT,0.65,0.84,0.73,615.0
LOC,0.46,0.4,0.43,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.53,0.88,0.66,743.0
TIM,0.73,0.81,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.9,0.78,0.84,757.0
CVL,0.75,0.83,0.79,727.0
DAT,0.58,0.85,0.69,615.0
LOC,0.42,0.29,0.34,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.43,0.92,0.58,743.0
TIM,0.72,0.79,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.77,0.78,0.77,757.0
CVL,0.74,0.76,0.75,727.0
DAT,0.58,0.82,0.68,615.0
LOC,0.37,0.31,0.34,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.93,0.98,0.95,637.0
STO,0.44,0.87,0.59,743.0
TIM,0.62,0.82,0.7,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.77,0.84,757.0
CVL,0.68,0.78,0.73,727.0
DAT,0.52,0.85,0.64,615.0
LOC,0.32,0.23,0.27,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.41,0.92,0.57,743.0
TIM,0.79,0.64,0.71,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.66,0.8,0.73,727.0
DAT,0.53,0.85,0.65,615.0
LOC,0.35,0.35,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.5,0.86,0.63,743.0
TIM,0.73,0.77,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.76,0.83,757.0
CVL,0.67,0.79,0.73,727.0
DAT,0.47,0.87,0.61,615.0
LOC,0.35,0.35,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.53,0.83,0.65,743.0
TIM,0.68,0.73,0.71,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.76,0.83,757.0
CVL,0.66,0.79,0.72,727.0
DAT,0.57,0.85,0.68,615.0
LOC,0.4,0.39,0.39,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.52,0.86,0.65,743.0
TIM,0.73,0.81,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.82,0.77,0.8,757.0
CVL,0.73,0.77,0.75,727.0
DAT,0.53,0.86,0.66,615.0
LOC,0.38,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.49,0.86,0.62,743.0
TIM,0.71,0.79,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.85,0.77,0.81,757.0
CVL,0.74,0.79,0.76,727.0
DAT,0.52,0.86,0.65,615.0
LOC,0.34,0.35,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.52,0.85,0.65,743.0
TIM,0.62,0.82,0.71,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.79,0.77,0.78,757.0
CVL,0.74,0.77,0.75,727.0
DAT,0.55,0.85,0.66,615.0
LOC,0.38,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.5,0.86,0.64,743.0
TIM,0.66,0.81,0.73,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.85,0.77,0.81,757.0
CVL,0.77,0.79,0.78,727.0
DAT,0.53,0.85,0.66,615.0
LOC,0.34,0.33,0.34,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.48,0.86,0.61,743.0
TIM,0.56,0.85,0.68,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.86,0.77,0.81,757.0
CVL,0.79,0.78,0.79,727.0
DAT,0.55,0.86,0.67,615.0
LOC,0.35,0.38,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.54,0.82,0.65,743.0
TIM,0.65,0.84,0.73,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.78,0.78,0.78,727.0
DAT,0.56,0.85,0.68,615.0
LOC,0.38,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.49,0.84,0.62,743.0
TIM,0.66,0.86,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.78,0.78,0.78,727.0
DAT,0.55,0.85,0.67,615.0
LOC,0.37,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.5,0.84,0.63,743.0
TIM,0.66,0.86,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.78,0.78,0.78,727.0
DAT,0.56,0.85,0.67,615.0
LOC,0.38,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.49,0.84,0.62,743.0
TIM,0.66,0.87,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.78,0.77,0.77,727.0
DAT,0.58,0.84,0.68,615.0
LOC,0.38,0.36,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.45,0.87,0.6,743.0
TIM,0.67,0.86,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.88,0.77,0.82,757.0
CVL,0.77,0.77,0.77,727.0
DAT,0.56,0.85,0.67,615.0
LOC,0.37,0.37,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.49,0.85,0.62,743.0
TIM,0.66,0.86,0.74,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.86,0.77,0.81,757.0
CVL,0.75,0.78,0.77,727.0
DAT,0.57,0.85,0.68,615.0
LOC,0.37,0.38,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.51,0.84,0.63,743.0
TIM,0.68,0.84,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.76,0.78,0.77,727.0
DAT,0.55,0.85,0.67,615.0
LOC,0.34,0.37,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.5,0.82,0.62,743.0
TIM,0.67,0.84,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.81,0.77,0.79,757.0
CVL,0.73,0.78,0.76,727.0
DAT,0.58,0.85,0.69,615.0
LOC,0.37,0.35,0.36,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.54,0.82,0.65,743.0
TIM,0.67,0.86,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.88,0.76,0.82,757.0
CVL,0.74,0.79,0.77,727.0
DAT,0.52,0.86,0.65,615.0
LOC,0.31,0.36,0.33,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.54,0.8,0.64,743.0
TIM,0.63,0.86,0.73,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.88,0.77,0.82,757.0
CVL,0.76,0.78,0.77,727.0
DAT,0.56,0.85,0.68,615.0
LOC,0.36,0.35,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.53,0.84,0.65,743.0
TIM,0.73,0.83,0.78,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.76,0.82,757.0
CVL,0.75,0.78,0.76,727.0
DAT,0.52,0.85,0.64,615.0
LOC,0.36,0.35,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.97,637.0
STO,0.5,0.86,0.63,743.0
TIM,0.7,0.84,0.76,461.0
