class,precision,recall,f1_score,support
AFW,0.93,0.76,0.84,757.0
CVL,0.63,0.82,0.71,727.0
DAT,0.66,0.85,0.74,615.0
LOC,0.41,0.42,0.41,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.97,0.96,637.0
STO,0.48,0.88,0.62,743.0
TIM,0.7,0.8,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.76,0.84,757.0
CVL,0.77,0.77,0.77,727.0
DAT,0.56,0.86,0.68,615.0
LOC,0.43,0.35,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.44,0.91,0.59,743.0
TIM,0.76,0.81,0.78,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.93,0.76,0.84,757.0
CVL,0.63,0.82,0.71,727.0
DAT,0.66,0.85,0.74,615.0
LOC,0.41,0.42,0.41,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.97,0.96,637.0
STO,0.48,0.88,0.62,743.0
TIM,0.7,0.8,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.76,0.84,757.0
CVL,0.77,0.77,0.77,727.0
DAT,0.56,0.86,0.68,615.0
LOC,0.43,0.35,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.44,0.91,0.59,743.0
TIM,0.76,0.81,0.78,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.9,0.76,0.83,757.0
CVL,0.73,0.8,0.76,727.0
DAT,0.57,0.85,0.68,615.0
LOC,0.39,0.31,0.34,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.97,0.96,637.0
STO,0.46,0.91,0.61,743.0
TIM,0.68,0.84,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.93,0.76,0.84,757.0
CVL,0.8,0.77,0.78,727.0
DAT,0.55,0.85,0.67,615.0
LOC,0.38,0.32,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.96,0.96,637.0
STO,0.46,0.89,0.61,743.0
TIM,0.67,0.86,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.9,0.77,0.83,757.0
CVL,0.78,0.76,0.77,727.0
DAT,0.66,0.83,0.74,615.0
LOC,0.37,0.41,0.39,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.49,0.8,0.61,743.0
TIM,0.69,0.8,0.74,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.78,0.84,757.0
CVL,0.76,0.79,0.78,727.0
DAT,0.5,0.86,0.63,615.0
LOC,0.39,0.35,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.52,0.85,0.65,743.0
TIM,0.6,0.85,0.7,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.87,0.76,0.82,757.0
CVL,0.77,0.77,0.77,727.0
DAT,0.61,0.84,0.71,615.0
LOC,0.4,0.37,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.98,0.96,637.0
STO,0.44,0.9,0.59,743.0
TIM,0.69,0.85,0.76,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.95,0.76,0.85,757.0
CVL,0.82,0.77,0.79,727.0
DAT,0.66,0.83,0.74,615.0
LOC,0.38,0.35,0.36,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.97,0.96,637.0
STO,0.44,0.89,0.59,743.0
TIM,0.65,0.85,0.74,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.89,0.77,0.82,757.0
CVL,0.79,0.77,0.78,727.0
DAT,0.61,0.83,0.7,615.0
LOC,0.38,0.34,0.36,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.97,0.96,637.0
STO,0.45,0.89,0.6,743.0
TIM,0.66,0.85,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.77,0.84,757.0
CVL,0.73,0.8,0.76,727.0
DAT,0.5,0.87,0.63,615.0
LOC,0.33,0.33,0.33,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.97,0.96,637.0
STO,0.58,0.82,0.68,743.0
TIM,0.67,0.84,0.75,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.77,0.83,757.0
CVL,0.76,0.8,0.78,727.0
DAT,0.51,0.86,0.64,615.0
LOC,0.35,0.34,0.34,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.97,0.97,637.0
STO,0.53,0.84,0.65,743.0
TIM,0.66,0.84,0.74,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.76,0.83,757.0
CVL,0.72,0.8,0.76,727.0
DAT,0.53,0.85,0.65,615.0
LOC,0.37,0.36,0.37,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.56,0.83,0.67,743.0
TIM,0.72,0.83,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.93,0.77,0.84,757.0
CVL,0.79,0.79,0.79,727.0
DAT,0.45,0.87,0.59,615.0
LOC,0.37,0.34,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.55,0.79,0.65,743.0
TIM,0.68,0.77,0.72,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.76,0.83,757.0
CVL,0.77,0.79,0.78,727.0
DAT,0.58,0.85,0.69,615.0
LOC,0.36,0.4,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.49,0.79,0.6,743.0
TIM,0.73,0.81,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.76,0.83,757.0
CVL,0.77,0.79,0.78,727.0
DAT,0.51,0.87,0.64,615.0
LOC,0.36,0.34,0.35,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.51,0.83,0.63,743.0
TIM,0.71,0.83,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.91,0.77,0.83,757.0
CVL,0.77,0.78,0.78,727.0
DAT,0.55,0.86,0.67,615.0
LOC,0.39,0.36,0.38,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.49,0.85,0.62,743.0
TIM,0.7,0.85,0.77,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
