class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.0,0.0,0.0,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.0,0.0,0.0,5632.0
ORG,0.0,0.0,0.0,4123.0
PER,0.0,0.0,0.0,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.0,0.0,0.0,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.0,0.0,0.0,5632.0
ORG,0.0,0.0,0.0,4123.0
PER,0.0,0.0,0.0,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.0,0.0,0.0,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.0,0.0,0.0,5632.0
ORG,0.0,0.0,0.0,4123.0
PER,0.0,0.0,0.0,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.0,0.0,0.0,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.0,0.0,0.0,5632.0
ORG,0.0,0.0,0.0,4123.0
PER,0.0,0.0,0.0,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.16,0.1,0.12,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.71,0.11,0.19,5632.0
ORG,0.27,0.14,0.18,4123.0
PER,0.61,0.0,0.01,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.15,0.15,0.15,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.67,0.47,0.56,5632.0
ORG,0.3,0.25,0.27,4123.0
PER,0.72,0.06,0.12,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,394.0
ANM,0.0,0.0,0.0,701.0
CVL,0.27,0.04,0.07,5770.0
DAT,0.0,0.0,0.0,2529.0
EVT,0.0,0.0,0.0,1097.0
FLD,0.0,0.0,0.0,228.0
LOC,0.0,0.0,0.0,2128.0
MAT,0.0,0.0,0.0,12.0
NUM,0.55,0.65,0.59,5632.0
ORG,0.41,0.43,0.42,4123.0
PER,0.47,0.65,0.54,4438.0
PLT,0.0,0.0,0.0,34.0
TIM,0.0,0.0,0.0,314.0
TRM,0.0,0.0,0.0,1989.0
