class,precision,recall,f1_score,support
AFW,0.67,0.42,0.52,193.0
CVL,0.89,0.96,0.93,558.0
DAT,0.92,0.98,0.95,637.0
EVT,0.0,0.0,0.0,0.0
LOC,0.51,0.44,0.47,1699.0
NUM,0.67,0.86,0.76,277.0
ORG,0.93,0.94,0.93,788.0
PER,1.0,1.0,1.0,1.0
STO,0.0,0.0,0.0,634.0
TIM,0.87,0.94,0.9,395.0
TRM,0.95,0.89,0.92,182.0
UN,0.0,0.0,0.0,1.0
class,precision,recall,f1_score,support
AFW,0.1,0.38,0.16,193.0
CVL,0.47,0.85,0.61,558.0
DAT,0.62,0.78,0.69,637.0
LOC,0.44,0.21,0.29,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.69,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.33,0.88,0.48,634.0
TIM,0.53,0.87,0.66,395.0
TRM,0.0,0.0,0.0,182.0
UN,0.0,0.0,0.0,1.0
class,precision,recall,f1_score,support
AFW,0.1,0.37,0.15,193.0
CVL,0.46,0.83,0.6,558.0
DAT,0.6,0.8,0.68,637.0
LOC,0.37,0.14,0.2,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.69,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.3,0.91,0.45,634.0
TIM,0.52,0.88,0.65,395.0
TRM,0.0,0.0,0.0,182.0
UN,0.0,0.0,0.0,1.0
class,precision,recall,f1_score,support
AFW,0.1,0.38,0.16,193.0
CVL,0.46,0.84,0.59,558.0
DAT,0.58,0.8,0.68,637.0
LOC,0.43,0.2,0.27,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.89,0.5,634.0
TIM,0.51,0.88,0.65,395.0
TRM,0.0,0.0,0.0,182.0
UN,0.0,0.0,0.0,1.0
class,precision,recall,f1_score,support
AFW,0.1,0.38,0.16,193.0
CVL,0.46,0.84,0.59,558.0
DAT,0.58,0.8,0.68,637.0
LOC,0.43,0.2,0.27,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.89,0.5,634.0
TIM,0.51,0.88,0.65,395.0
TRM,0.0,0.0,0.0,182.0
UN,0.0,0.0,0.0,1.0
