class,precision,recall,f1_score,support
AFW,0.1,0.35,0.16,193.0
CVL,0.44,0.84,0.58,558.0
DAT,0.59,0.83,0.69,637.0
LOC,0.45,0.26,0.33,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.89,0.5,634.0
TIM,0.55,0.82,0.66,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.55,0.77,0.64,558.0
DAT,0.5,0.84,0.63,637.0
LOC,0.41,0.18,0.25,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.3,0.89,0.45,634.0
TIM,0.6,0.83,0.7,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.51,0.8,0.63,558.0
DAT,0.5,0.83,0.63,637.0
LOC,0.4,0.16,0.23,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.32,0.91,0.48,634.0
TIM,0.54,0.86,0.66,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.36,0.16,193.0
CVL,0.58,0.78,0.66,558.0
DAT,0.49,0.83,0.62,637.0
LOC,0.42,0.19,0.26,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.69,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.32,0.88,0.47,634.0
TIM,0.51,0.88,0.65,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.16,193.0
CVL,0.56,0.76,0.64,558.0
DAT,0.61,0.81,0.69,637.0
LOC,0.37,0.23,0.29,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.83,0.5,634.0
TIM,0.55,0.83,0.66,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.1,0.36,0.16,193.0
CVL,0.54,0.81,0.65,558.0
DAT,0.43,0.84,0.57,637.0
LOC,0.4,0.2,0.27,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.38,0.86,0.52,634.0
TIM,0.45,0.87,0.6,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.1,0.36,0.16,193.0
CVL,0.54,0.78,0.64,558.0
DAT,0.55,0.82,0.66,637.0
LOC,0.44,0.22,0.29,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.31,0.9,0.46,634.0
TIM,0.53,0.86,0.66,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.59,0.79,0.68,558.0
DAT,0.6,0.8,0.69,637.0
LOC,0.43,0.21,0.29,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.31,0.9,0.46,634.0
TIM,0.5,0.87,0.63,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.16,193.0
CVL,0.56,0.79,0.65,558.0
DAT,0.55,0.81,0.65,637.0
LOC,0.4,0.2,0.26,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.32,0.89,0.47,634.0
TIM,0.52,0.86,0.64,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.51,0.83,0.63,558.0
DAT,0.42,0.84,0.57,637.0
LOC,0.39,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.72,788.0
PER,0.0,0.0,0.0,1.0
STO,0.43,0.86,0.58,634.0
TIM,0.52,0.85,0.65,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.53,0.83,0.65,558.0
DAT,0.44,0.84,0.57,637.0
LOC,0.4,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.4,0.87,0.55,634.0
TIM,0.52,0.85,0.64,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.1,0.36,0.16,193.0
CVL,0.52,0.83,0.64,558.0
DAT,0.46,0.83,0.59,637.0
LOC,0.4,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.41,0.85,0.55,634.0
TIM,0.57,0.85,0.68,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.56,0.81,0.66,558.0
DAT,0.39,0.86,0.54,637.0
LOC,0.41,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.76,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.4,0.81,0.54,634.0
TIM,0.54,0.79,0.64,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.1,0.36,0.16,193.0
CVL,0.54,0.8,0.65,558.0
DAT,0.52,0.83,0.64,637.0
LOC,0.41,0.25,0.31,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.76,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.36,0.81,0.5,634.0
TIM,0.58,0.82,0.68,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.54,0.8,0.64,558.0
DAT,0.45,0.85,0.59,637.0
LOC,0.41,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.76,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.37,0.84,0.51,634.0
TIM,0.56,0.84,0.67,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.54,0.79,0.64,558.0
DAT,0.49,0.84,0.61,637.0
LOC,0.42,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.87,0.5,634.0
TIM,0.54,0.87,0.67,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
CVL,0.54,0.79,0.64,558.0
DAT,0.48,0.84,0.61,637.0
LOC,0.42,0.21,0.28,1699.0
NUM,0.0,0.0,0.0,277.0
ORG,0.75,0.7,0.73,788.0
PER,0.0,0.0,0.0,1.0
STO,0.35,0.86,0.5,634.0
TIM,0.54,0.87,0.67,395.0
TRM,0.0,0.0,0.0,182.0
class,precision,recall,f1_score,support
AFW,0.11,0.38,0.17,193.0
